Burlington International Airport,Hinesburg Road at,Kennedy Drive at Manor Woods,UVM Medical Center,Waterfront,Downtown Transit Center,Williston Road,,,,
6:32 AM,6:35 AM,6:38 AM,6:47 AM,7:02 AM, 7:07 am
7:17 AM,7:20 AM,7:23 AM,7:32 AM,7:47 AM, 7:52 am
8:02 AM,8:05 AM,8:08 AM,8:17 AM,8:32 AM, 8:37 am
8:47 AM,8:50 AM,8:53 AM,9:02 AM,9:17 AM, 9:22 am
9:32 AM,9:35 AM,9:38 AM,9:47 AM,10:02 am*, 10:07 am
10:17 AM,10:20 AM,10:23 AM,10:32 AM,10:47 AM, 10:52 am
11:02 AM,11:05 AM,11:08 AM,11:16 AM,11:32 AM, 11:37 am
11:47 AM,11:50 AM,11:53 AM,12:02 PM,12:17 PM, 12:22 pm
12:32 PM,12:35 PM,12:38 PM,12:47 PM,1:02 PM, 1:07 pm
1:17 PM,1:20pm,1:23 PM,1:32 PM,1:47 PM, 1:52 pm
2:02 PM,2:05 PM,2:08 PM,2:17 PM,2:32 PM, 2:37 pm
2:47 PM,2:50 PM,2:53 PM,3:02 PM,3:17 PM, 3:22 pm
3:32 PM,3:35 PM,3:38 PM,3:47 PM,4:02 PM, 4:07 pm
4:17 PM,4:20 PM,4:23 PM,4:32 PM,4:47 PM, 4:52 pm
5:02 PM,5:05 PM,5:08 PM,5:17 PM,5:32 PM, 5:37 pm
5:47 PM,5:50 PM,5:53 PM,6:02 PM,6:17 PM, 6:22 pm
6:32 PM,6:35 PM,6:38 PM,6:47 PM,7:02 PM, 7:07 pm
7:17 PM,7:20 PM,7:23 PM,7:32 PM,7:47 PM, 7:52 pm
8:02 PM,8:05 PM,8:08 PM,8:17 PM,8:32 PM, 8:37 pm
8:32 PM,8:35 PM,8:38 PM,8:47 PM,9:02 PM, 9:07 pm
9:47 PM,9:50 PM,9:53 PM,10:02 PM,10:17* pm, 10:22 pm
11:02 PM,11:05 PM,11:08 PM,11:17 PM,11:32 PM, 11:37 pm
