Walmart,Williston Road at Kennedy Drive,University Mall,University Heights,Downtown Transit Center,Kennedy Drive,,,
6:10 AM,6:18 AM,6:26 AM,6:33 AM,6:45 AM
7:10 AM,7:18 AM,7:26 AM,7:33 AM,7:45 AM
7:40 AM,7:48 AM,7:56 AM,8:03 AM,8:15 AM
8:10 AM,8:18 AM,8:26 AM,8:33 AM,8:45 AM
8:40 AM,8:48 AM,8:56 AM,9:03 AM,9:15 AM
9:10 AM,9:18 AM,9:26 AM,9:33 AM,9:45 AM
9:40 AM,9:48 AM,9:56 AM,10:03 AM,10:15 AM
10:20 AM,10:28 AM,10:36 AM,10:43 AM,10:55 AM
10:50 AM,10:58 AM,11:06 AM,11:13 AM,11:25 AM
11:20 AM,11:30 AM,11:40 AM,11:48 AM,12:00 PM
11:50 AM,12:00 PM,12:10 PM,12:18 PM,12:30 PM
12:20 PM,12:30 PM,12:40 PM,12:48 PM,1:00 PM
12:50 PM,1:00 PM,1:10 PM,1:18 PM,1:30 PM
1:20 PM,1:30 PM,1:40 PM,1:48 PM,2:00 PM
1:50 PM,2:00 PM,2:10 PM,2:18 PM,2:30 PM
2:20 PM,2:30 PM,2:40 PM,2:48 PM,3:00 PM
2:50 PM,3:00 PM,3:10 PM,3:18 PM,3:30 PM
3:20 PM,3:30 PM,3:40 PM,3:48 PM,4:00 PM
3:50 PM,4:00 PM,4:10 PM,4:18 PM,4:30 PM
4:20 PM,4:30 PM,4:40 PM,4:48 PM,5:00 PM
4:50 PM,5:00 PM,5:10 PM,5:18 PM,5:30 PM
5:20 PM,5:30 PM,5:40 PM,5:48 PM,6:00 PM
5:45 PM,5:55 PM,6:05 PM,6:13 PM,6:25 PM
6:15 PM,6:23 PM,6:31 PM,6:38 PM,6:50 PM
6:45 PM,6:53 PM,7:01 PM,7:08 PM,7:20 PM
7:15 PM,7:23 PM,7:31 PM,7:38 PM,7:50 PM
7:40 PM,7:48 PM,7:56 PM,8:03 PM,8:15 PM
8:40 PM,8:47 PM,8:56 PM,9:03 PM,9:15 PM
9:55 PM,10:02 PM,10:11 PM,10:18 PM,10:30 PM
11:10 PM,11:17 PM,11:26 PM,11:33 PM,11:45 PM
4:40 PM,4:53 PM,5:00 PM,5:10 PM,—
5:00 PM,5:09 PM,5:16 PM,5:25 PM,—
5:20 PM,5:29 PM,5:36 PM,5:45 PM,—
5:40 PM,5:48 PM,5:55 PM,6:03 PM,—
6:00 PM,6:08 PM,6:15 PM,6:23 PM,—
6:30 PM,6:38 PM,6:45 PM,6:53 PM,—
7:00 PM,7:06 PM,7:12 PM,7:20 PM,—
8:00 PM,8:06 PM,8:12 PM,8:20 PM,—
9:15 PM,9:21 PM,9:27 PM,9:35 PM,—
10:30 PM,10:36 PM,10:42 PM,10:50 PM,—
